26.612853073	2166
27.464681954	2110
28.316410984	2086
29.168040163	2022
30.017372769	1972
30.868902097	1943
31.720331574	2021
32.5716612	1939
33.422890975	1861
34.271824177	1806
35.122954101	1871
35.974084025	1812
36.825014247	1804
37.675944469	1774
38.524478267	1707
39.375208787	1765
40.225939307	1743
41.076569976	1765
41.924804221	1815
42.775235188	1820
43.625566304	1915
44.47589742	2014
45.323832112	2091
46.174063377	2184
47.02409494	2287
47.87182993	2434
48.721761642	2572
49.571693354	2698
50.421425364	2890
51.268860801	3090
52.11849296	3373
52.968025268	3442
53.815261003	3769
54.66469346	3999
55.514026066	4172
56.361062099	4308
57.210195003	4480
58.059327907	4729
58.906064387	4827
59.75509744	4818
60.603930791	5083
61.450467569	5329
62.299201069	5625
63.145637996	5944
63.994171794	6144
64.842705592	6353
65.688942817	6608
66.537276913	6488
67.383314436	6035
68.231548681	5854
69.079683075	5841
69.925421045	6091
70.773455588	6281
71.619093707	6439
72.466928548	7357
73.312466816	8499
74.160201806	9466
75.007836945	10624
75.85307566	11029
76.700511097	11821
77.545649961	11313
78.392985547	9883
79.23802456	7932
80.085160444	6715
80.929999755	7309
81.777035788	6174
82.621775248	5907
83.468611579	5768
84.313151337	5702
85.159887817	5926
86.004327724	5506
86.850864502	5091
87.695104707	5019
88.541541634	4823
89.385681988	4689
90.231919213	4597
91.075859865	4419
91.919800517	4408
92.76583804	4263
93.60957899	4263
94.455516662	3959
95.29905791	3904
96.14479588	3907
96.988237277	3758
97.831578823	3735
98.677216942	3635
99.520358786	3588
100.365797203	3538
101.208839196	3532
102.05198104	3581
102.8967205	3470
103.73946294	3673
104.58220538	3527
105.42794335	3410
106.27068579	3449
107.11242972	3433
107.95716918	3366
108.79991162	3367
109.64265406	3503
110.48639501	3405
111.32913745	3477
112.17088138	3625
113.01562084	3660
113.85736477	3784
114.6991087	3863
115.54284965	3883
116.38459358	3871
117.22633751	3739
118.06808144	3215
118.91182239	3230
119.75356632	3200
120.59431174	3170
121.43605567	3154
122.27979662	3147
123.12054204	3152
123.96228597	3117
124.80303139	3145
125.64577383	3104
126.48651925	3131
127.32726467	3022
128.16801009	3030
129.01075253	3055
129.85149795	3036
130.69224337	3012
131.53298879	2983
132.3727357	3003
133.21348112	2952
134.05622356	2975
134.89597047	2976
135.73571738	2967
136.57546429	2975
137.41620971	2953
138.25595662	2956
139.09770055	2963
139.93744746	2967
140.77719437	3000
141.61694128	2991
142.45568968	3016
143.29543659	3081
144.13418499	3086
144.9739319	3068
145.8126803	3140
146.65442423	3074
147.49317263	3196
148.33192103	3164
149.17166794	3179
150.01041634	3149
150.84916474	3210
151.68691463	3198
152.52566303	3219
153.36441143	3226
154.20315983	3289
155.04090972	3273
155.87965812	3277
156.71740801	3257
157.55615641	3335
158.3939063	3389
159.23165619	3363
160.07040459	3329
160.90815448	3328
161.74590437	3377
162.58365426	3384
163.42140415	3265
164.25815553	3394
165.09590542	3461
165.93365531	3495
166.77040669	3486
167.60815658	3471
168.44490796	3524
169.28265785	3475
170.11940923	3580
170.95616061	3492
171.79291199	3590
172.62966337	3548
173.46641475	3559
174.30116911	3539
175.13792049	3607
175.97467187	3648
176.81042474	3631
177.64717612	3603
178.4839275	3637
179.31968037	3663
180.15643175	3721
180.99218462	3743
181.82594047	3697
182.66169334	3745
183.49744621	3786
184.33319908	3830.71693986033
185.16895195	3915
186.00470482	3769
186.83846067	3885
187.67421354	3933
188.5089679	3874
189.34472077	3994
190.17947513	3969
191.015228	3965
191.84798534	4046
192.6827397	4037
193.51849257	4034
194.35324693	4090
195.18600427	4107
196.02075863	4110
196.85551299	4192
197.69026735	4140
198.52202618	4115
199.35678054	4154
200.1915349	4091
201.02529075	4283
201.85804809	4388
202.69180394	4317
203.52555979	4352
204.36031415	4525
205.19207298	4455
206.02582883	4441
206.85958468	4410
207.69134351	4493
208.52509936	4560.47094436119
209.35885521	4523
210.18961553	4638.34705684822
211.02337138	4686.1346713289
211.85712723	4687
212.68788755	4704
213.52064489	4686
214.35440074	4651
215.18516106	4739
216.0179184	4873
216.85067574	4949
217.68143606	4923
218.5141934	4994
219.34495372	5068
220.17771106	5071
221.0104684	5267
221.84122872	5448
222.67298755	5423
223.50374787	5588
224.3355067	5729
225.16626702	6167
225.99802585	5983
226.82978468	6260
227.65954649	6156
228.49230383	6398
229.32206564	6535
230.15382447	6628
230.98258777	6767
231.8143466	6759
232.64410841	7203
233.47586724	7169
234.30463054	7062
235.13638937	7370
235.96515267	7342
236.7969115	7505.44426600338
237.6256748	7857
238.45643512	7507
239.28519842	7700
240.11595874	7869
240.94472204	7506
241.77548236	7946
242.60424566	7959
243.43500598	8020
244.26376928	8169
245.09153407	8009.68316601925
245.92229439	8131
246.75005918	8143
247.5808195	8170
248.40858429	8085
249.23634908	8085.66437013123
250.0671094	8078
250.89487419	7890
251.724636	7795
252.55240079	7705
253.37916707	7650.49929203534
254.20892888	7469
255.03669367	7496
255.86645548	7255
256.69322176	7335
257.52098655	7109
258.35074836	7051
259.17751464	7225
260.00428092	7114
260.83404273	7018
261.66080901	7178
262.48757529	7168
263.31434157	7116
264.14310487	7125.6600909931
264.96987115	7046
265.79563892	7075
266.62440222	7243
267.4511685	7177
268.27693627	7279
269.10370255	7245
269.93146734	7276
270.75823362	7513
271.58400139	7309
272.40976916	7386
273.23753395	7659.70913495801
274.06330172	7632
274.88906949	7744.98631419152
275.71483726	7786.87597383521
276.56425880658	7759.64769506681
278.272930173238	7736.73653016841
278.19413759	7678
279.01890685	7777
279.84467462	7799
280.67243941	7732
281.49720867	7838
282.32197793	7765
283.14674719	7831
283.97251496	7841
284.79728422	7654
285.6240505	7762.19804846738
286.44881976	7781.29418719161
287.27358902	7754
288.09835828	7686
288.92212903	7789
289.74689829	7682
290.57166755	7673.08273442098
291.3954383	7806
292.22220458	7606
293.04597533	7644
293.87074459	7442
294.69451534	7528
295.51828609	7767
296.34205684	7498
297.16582759	7611
297.98959834	7783
298.81336909	7578
299.63713984	7602
300.46091059	7500
301.28368283	7435
302.10745358	7385
302.93022582	7585
303.75399657	7454
304.57676881	7508
305.39954105	7276
306.2233118	7296
307.04608404	7475
307.86885628	7319
308.69162852	7431
309.51440076	7635
310.337173	7458
311.15994524	7488
311.98171897	7640
312.80449121	7566
312.838842243242	7433.32010377233
314.44903718	7276
315.27180942	7307
316.09358315	7404
316.91535688	7318
317.73812912	7386.64065355755
318.55990285	7269.9420280206
319.38167658	7342
320.20345031	7454
320.37871541432	7337.83941015119
321.84500075	7300
322.66577597	7294
323.4875497	7232
324.30932343	7317
325.13109716	7329
325.95187238	7393
326.77364611	7301
327.59442133	7316
328.41319953	7424.83293100601
329.23397475	7471.51238122079
330.05574848	7490.60851994502
330.8765237	7501.21748590292
331.69729892	7522.43541781873
332.51807414	7560.62769526719
332.227087540298	7562.74948845877
333.891734863783	7501.21748590292
333.010450986644	7526.6790042019
